EC,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8
3.5.4.1,16,2,5,6,0,17,6,9,46,3,57,144,1,9,6,51
3.5.4.10,1236,3537,3475,2925,2812,5065,1844,5451,1572,1446,3378,2508,24764,96337,2563,3087
3.5.4.12,473,885,1439,1641,1319,366,209,376,260,228,2403,684,1042,79,278,516
3.5.4.13,32,9,45,31,89,1,32,91,13,20,17,81,29,1,14,15
3.5.4.16,83,1034,3305,603,53,428,793,102,78,994,184,447,215,620,117,4261
3.5.4.19,364,427,531,377,169,394,310,651,162,191,367,235,250,74,475,1665
3.5.4.2,603,376,590,612,152,266,372,326,830,177,631,1086,414,34,1634,894
3.5.4.25,380,13146,413,592,6807,7156,387,494,209,382,1459,428,4048,171,672,981
3.5.4.26,8,35,2,79,2,36,3,2,7,20,54,4,26,16,32,95
3.5.4.28,636,504,1980,886,610,605,525,822,2454,806,2093,1150,774,111,1728,5697
3.5.4.3,228,308,273,66,14,256,149,176,154,121,154,43,390,21,1050,617
3.5.4.31,636,504,1980,886,610,605,525,822,2454,806,2093,1150,774,111,1728,5697
3.5.4.32,43,30,188,69,11,96,70,79,42,13,9,99,10,4,206,83
3.5.4.33,687,1671,536,361,241,1529,2491,3238,131,401,428,44,1008,492,163,1663
3.5.4.4,0,38,0,0,0,0,0,0,0,0,291,0,0,0,0,43
3.5.4.5,81,75,1009,610,28,1028,101,128,506,1234,383,273,309,93,241,379
3.5.4.9,842,1656,1667,892,412,1730,1171,1270,564,521,991,1171,1868,96,917,1751
3.5.5.1,7,0,0,0,0,4,0,21,7,16,0,1,1,0,0,0
3.5.5.4,7,0,0,0,0,4,0,21,7,16,0,1,1,0,0,0
3.5.99.3,0,1,1,2,0,16,0,6,2,0,0,11,11,0,1,30
3.5.99.6,5555,10249,9220,12577,6782,9245,17815,6529,4672,2196,11530,5703,9400,3933,6344,7635
3.6.-.-,1566,3535,4028,2541,9046,7171,5742,4894,1750,2261,3498,3316,6543,1650,2907,5924
3.6.1.-,140,455,847,211,298,659,752,369,343,300,564,287,805,115,660,881
3.6.1.1,1173,3040,2676,2414,1343,10314,1527,1847,1802,2947,4666,3031,11961,599,2549,1764
3.6.1.13,0,1,54,9,0,22,11,0,0,7,3,11,0,0,0,17
3.6.1.19,343,350,335,699,79,436,171,241,593,254,207,429,339,24,3733,659
3.6.1.22,5,26,3,10,23,118,0,2,0,1,24,9,26,0,104,117
3.6.1.23,263,1481,742,614,100,522,392,76,185,992,536,492,163,112,194,458
3.6.1.25,26,17,2,1,1,0,15,4,1,1,5,1,4,5,15,17
3.6.1.27,104,624,387,164,71,530,71,91,46,93,82,137,523,49,1972,1932
3.6.1.3,637,1219,1375,1141,221,123,194,196,429,181,301,566,113,9,227,504
3.6.1.31,357,427,489,377,169,394,310,651,162,191,367,235,250,74,475,1629
3.6.1.54,61,65,59,55,361,64,69,146,43,265,79,82,90,66,188,155
3.6.1.55,95,168,231,125,134,264,802,337,572,491,449,546,399,66,603,1890
3.6.1.61,18,7,53,110,3,40,68,45,18,15,10,27,7,18,44,71
3.6.1.8,18,19,58,20,15,20,180,151,59,39,46,50,9,1,78,189
3.6.1.9,4,239,3,67,11,108,6,16,5,45,143,23,688,16,311,1108
3.6.3.-,51440,52667,70092,76660,22045,47806,65599,75416,54318,25328,75755,83760,55700,40817,87110,74814
3.6.3.12,6,0,13,0,14,0,0,4,4,1,0,3,0,20,1650,18
3.6.3.14,28010,63984,77329,63805,82079,66595,100067,87488,51967,51912,120381,67012,98094,242408,113792,78516
3.6.3.15,0,3,2,5,0,29,6,2,0,2,1,0,2,0,0,1
3.6.3.16,0,16,0,8,0,208,0,1,0,8,7,2,9,15,1,1
3.6.3.17,8468,28763,29714,31114,1851,13514,19652,14007,22874,10971,37336,21725,22375,4061,19137,35558
3.6.3.19,1476,563,1340,460,110,1845,1168,347,4995,58,1111,1165,1389,137,698,162
3.6.3.20,510,319,440,239,76,175,431,678,351,131,223,587,122,35,397,101
3.6.3.24,6,15,19,0,0,0,0,6,0,0,1,0,0,0,6,0
3.6.3.25,23,101,19,38,8,37,12,392,0,250,73,39,1,0,24,74
3.6.3.27,151,483,107,467,507,117,38,83,56,45,23,776,15873,10770,1096,33
3.6.3.28,7,21,179,402,23,37,55,98,25,28,444,334,106,11,26,133
3.6.3.3,85,819,385,1576,1069,766,587,839,447,1001,4314,993,8971,563,1841,1158
3.6.3.30,382,423,1438,604,35,525,380,538,51,10,105,85,48,11,973,260
3.6.3.31,1324,1046,1994,1248,933,1620,1072,6879,1003,724,1347,2862,2575,112987,3781,1674
3.6.3.32,25,52,17,10,23,700,48,25,5,1,16,3,7,0,3,5
3.6.3.33,24,46,988,205,0,0,0,0,103,29,19,447,0,0,83,113
3.6.3.34,15,3,10,2,223,4,400,156,2,622,32,693,2045,667,775,513
3.6.3.36,47,2,19,26,3,0,10,58,4,4,10,9,5,5,15,141
3.6.3.39,0,0,0,0,0,25,0,1,0,0,0,0,3,8,90,154
3.6.3.4,125,146,276,103,2337,104,2734,1506,266,88,62,400,927,2411,1469,385
3.6.3.40,0,11,15,8,3,47,2356,64,5672,61,1587,31,5749,71,1025,302
3.6.3.41,132,62,43,8,0,5,6,0,0,38,4,10,0,28,0,7
3.6.3.43,1,10,0,3,0,9,0,1,8,12,68,5,139,26,56,152
3.6.3.44,0,0,13,6,0,0,0,13,0,0,0,0,0,0,0,0
3.6.3.5,89,853,468,1691,1116,801,627,862,471,1012,4322,1060,9066,563,1848,1161
3.6.3.53,0,19,0,28,165,17,94,1,0,0,0,0,0,71,12,0
3.6.3.54,587,1148,532,648,3202,414,2800,1102,270,824,227,8734,12892,5057,7413,1760
3.6.3.8,2795,5295,7444,3654,48373,4212,62983,41177,1822,1675,3032,3320,4470,128225,14494,18265
3.6.4.-,9600,16345,17144,6326,21079,20505,29128,55682,4903,6772,10357,9265,21734,57323,16859,8836
3.6.4.12,4589,21359,11679,12950,12938,23599,17577,18861,10942,12811,18452,13204,14477,2521,12704,23073
3.6.4.13,2386,8824,7712,6379,33395,6203,4541,3745,4300,3171,7569,8858,3948,784,2104,4801
3.6.5.n1,1262,3776,3380,2890,10408,3908,5319,6300,1861,2149,4611,3141,7905,39154,7764,30799
3.7.1.22,197,516,310,256,66,280,308,591,275,110,287,450,597,14,1241,624
3.7.1.5,13,64,17,28,57,21,14,33,11,69,219,63,144,42,22,93
4.-.-.-,282,1186,1054,609,211,1359,418,1554,947,1089,6241,1045,823,65,1473,1456
4.1.-.-,44,110,12,45,57,7,26,10,26,17,2,0,0,0,23,13
4.1.1.11,21,119,21,53,45,24,33,27,18,43,77,72,59,20,79,127
4.1.1.12,2358,6009,4591,889,6675,1636,2303,2933,860,2952,1849,617,1415,414,1238,2319
4.1.1.15,2852,9484,3454,2740,40814,4527,12353,25289,2535,7942,3683,2284,2178,3875,17017,31180
4.1.1.17,29,0,2,0,5,0,1141,185,0,0,0,0,9,33,28,3
4.1.1.19,595,973,872,740,4004,667,789,1754,211,497,1381,1006,2157,985,1065,5979
4.1.1.20,204,594,248,223,109,425,85,216,91,965,898,241,373,63,329,498
4.1.1.21,7,8,3,0,25,0,7,1,1,0,0,1,0,0,0,0
4.1.1.22,114,16,99,8,115,7,43,20,9,1,0,1,11,2,68,32
4.1.1.23,654,905,1534,439,237,2276,733,533,341,207,1536,459,485,133,356,646
4.1.1.3,1473,1819,3785,1503,1186,2037,1380,1493,1213,1008,2601,2815,1838,268,1418,2204
4.1.1.31,1,32,0,1,419,3,379,433,0,2,0,2,20,59,11,2
4.1.1.32,3712,4166,7486,5305,1600,2480,2351,4930,2017,899,1832,3002,1906,446,4590,2774
4.1.1.35,108,432,2120,574,39,86,24,133,2,22,137,11,0,3,207,196
4.1.1.36,247,1220,987,592,970,1487,821,1078,245,500,1892,1237,483,95,299,1373
4.1.1.48,7,21,5,2,159,11,86,77,2,3,4,1,4,1,13,19
4.1.1.49,14021,32192,26431,15130,55858,35872,22610,31434,11790,11547,21847,25098,14576,6086,23683,30315
4.1.1.50,9,31,91,79,8,27,1,32,34,8,28,70,10,2,10,7
4.1.1.65,65,342,540,305,172,345,80,121,165,299,345,292,301,233,583,381
4.1.1.70,3060,8034,10216,9189,3703,15388,15319,14597,7212,8054,20215,10363,9024,1848,9233,11859
4.1.1.8,2269,2410,1825,627,73631,3844,6793,15966,1039,807,1201,399,652,3984,13818,8277
4.1.1.81,37,132,19,20,17,52,17,72,22,16,90,35,33,56,130,291
4.1.1.82,0,5,127,1,0,1,2,1,1,170,10,0,4,0,0,306
4.1.1.96,141,181,165,167,267,153,101,186,68,316,264,134,1728,120,187,166
4.1.2.-,464,1508,951,653,5424,443,4410,9912,439,446,958,838,1212,975,1670,1280
4.1.2.13,14749,16366,21359,21615,12814,25008,18177,20585,18559,15103,29075,30794,33647,9042,41061,36279
4.1.2.14,198,259,153,992,2168,176,95,369,68,79,129,345,175,49,208,183
4.1.2.17,133,491,506,350,34,2550,1434,165,1185,263,21308,349,4150,118,273,627
4.1.2.19,5,19,4,20,53,56,24,20,85,22,19,186,99,82,102,217
4.1.2.25,1,13,0,3,1,14,2,5,1,3,9,4,8,5,9,24
4.1.2.4,555,2822,1569,2007,1433,1409,2910,2845,2758,1264,3851,1218,3597,402,3891,4180
4.1.2.40,17,51,209,155,99,29,56,161,69,7,48,103,91,9,71,134
4.1.2.48,35,362,68,56,121,336,20,39,148,391,1295,279,2524,238,176,285
4.1.2.49,10,0,13,2,0,2,0,20,4,8,13,4,19,0,1,14
4.1.2.50,8,8,5,0,0,0,0,2,2,18,0,7,3,23,2,49
4.1.2.9,20,16,2,1,216,0,1,0,0,0,0,3,1,2,1,0
4.1.3.-,146,509,1692,725,75,441,84,4298,2071,2971,961,2598,109,56,343,3977
4.1.3.16,198,259,153,992,2168,176,95,369,68,79,129,345,175,49,208,183
4.1.3.27,22,101,15,44,68,81,4148,2616,20,49,28,14,24,27,51,45
4.1.3.3,7798,7664,5273,18461,279,10783,7086,4711,6678,7317,34698,7698,10973,4691,8881,17461
4.1.3.32,175,0,0,5,0,0,0,0,0,0,0,184,0,0,14,0
4.1.3.34,141,139,137,170,3,116,92,837,120,153,857,1670,348,42,290,207
4.1.3.36,32,59,71,37,114,26,34,7,22,43,176,36,53,11,65,42
4.1.3.39,0,30,0,146,48,155,47,154,0,0,7,81,0,0,0,0
4.1.3.6,385,964,384,1108,31,602,243,1066,536,334,1143,2448,750,68,1029,419
4.1.99.-,943,5318,1869,2898,1351,3779,1379,684,796,1420,3145,820,4543,269,355,943
4.1.99.1,822,622,621,1072,12,345,265,693,719,57,646,2067,454,93,1653,600
4.1.99.12,380,13162,509,639,6807,7156,387,494,231,423,1602,460,4066,171,672,981
4.1.99.17,142,707,321,1536,3321,501,350,393,217,1047,1879,315,827,111,471,1437
4.1.99.18,27,151,108,65,26,301,82,235,96,185,265,169,319,3,298,85
4.1.99.19,10,43,77,7,183,63,9,6,28,37,125,4,323,17,187,115
4.1.99.2,249,1416,262,962,8249,637,412,250,777,12,569,629,89,12,15,226
4.2.-.-,21,80,20,4,215,21,7,21,19,9,17,137,670,3833,581,198
4.2.1.-,601,1209,1072,1991,119,968,2237,648,1215,464,1394,2654,1054,535,752,1018
4.2.1.1,15,278,83,37,161,178,156,208,161,318,575,210,2174,493,644,1525
4.2.1.10,80,31,590,131,191,98,107,102,114,145,99,178,153,31,51,120
4.2.1.11,9452,16179,17232,11566,34511,14412,43682,53180,10876,26342,18401,12878,31202,105325,43592,30015
4.2.1.115,31,49,916,565,661,309,114109,978,225124,261106,95580,206603,109735,30,616,223179
4.2.1.116,76,81,101,36,7,8,34,92,60,68,66,66,8,0,230,116
4.2.1.120,754,749,316,753,73,631,220,625,451,287,622,643,547,54,1097,758
4.2.1.126,586,1549,1512,1362,20,277,115,154,183,69,281,497,270,33,1400,271
4.2.1.136,25,211,18,37,43,87,19,40,50,157,242,97,93,27,151,348
4.2.1.17,381,446,847,675,64,281,320,507,167,78,344,316,132,43,160,177
4.2.1.19,7,126,33,87,1073,227,46,692,31,93,270,60,74,33,219,307
4.2.1.2,1585,11852,3037,2150,3947,7281,4370,5199,2080,1517,5348,2583,3287,1488,6340,4694
4.2.1.20,1212,13341,27959,7231,4007,17414,2070,117992,10944,2338,3813,2772,1938,11650,1745,3399
4.2.1.24,90,664,1279,1180,4175,28,44,111,90,165,274,145,381,2089,2492,842
4.2.1.28,241,575,311,610,1713,3032,343,100,396,32,1483,780,3157,137,228,1283
4.2.1.3,1127,6873,569,841,7743,4048,4695,6730,156,2657,4018,1500,5967,516,1479,4052
4.2.1.30,40,441,1,111,1,12,1,65,22,17,134,84,41,0,48,17
4.2.1.32,18,525,93,131,0,1714,52,119,28,34,758,9,156,32,26,245
4.2.1.33,1082,1640,3055,1861,2148,1756,1257,2551,881,2015,2804,1796,1787,461,2242,3061
4.2.1.40,17,30,49,49,11,31,13,150,8,4,65,33,8,1,14,18
4.2.1.42,21,23,3,90,0,1,0,0,1,0,10,10,33,0,1,7
4.2.1.44,115,62,180,447,57,72,67,126,83,23,73,133,22,11,339,186
4.2.1.45,55,409,53,212,13,57,12,35,172,23,3674,172,119,10,65,304
4.2.1.46,1378,5735,2467,4206,5002,4695,14305,11449,2432,2675,6124,7850,2128,1489,4737,11246
4.2.1.47,107,2738,1335,611,1530,2243,1731,2729,1081,1323,8298,1856,1067,297,2067,1807
4.2.1.49,1199,5683,1843,1767,306,5980,1276,1309,2258,1034,2449,2926,2410,357,621,1582
4.2.1.51,94,320,400,204,383,482,448,294,344,141,201,85,86,6,356,775
4.2.1.53,3463,305,645,325,13640,198,34051,26344,1933,428,4536,1690,23738,92718,24385,4155
4.2.1.54,1732,334,2348,164,68,3,1,13,2,0,0,1,0,0,1,0
4.2.1.55,3143,4209,15815,26257,1100,9078,11966,24161,13635,13340,9602,15004,5016,1761,15147,24704
4.2.1.59,345,1515,531,1422,736,1279,445,714,312,314,1368,576,615,233,365,1901
4.2.1.6,0,0,22,0,0,12,29,36,0,0,0,0,0,0,0,0
4.2.1.7,17,485,16,197,362,97,499,74,79,602,437,108,333,146,84,335
4.2.1.75,3,66,24,33,7,72,13,70,1,2,2,1,3,2,62,37
4.2.1.79,0,0,0,0,0,0,0,105,0,1,2,2,0,1,29,6
4.2.1.8,439,3454,716,29328,8209,1104,7246,3744,647,592,2850,1716,6396,27157,5947,1209
4.2.1.82,23,75,45,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2.1.85,7,19,46,44,33,27,93,23,25,17,49,44,1,99,16,153
4.2.1.9,1629,2773,3118,4004,8028,5763,8604,8232,4068,7342,8087,5301,8905,666,6274,8142
4.2.1.91,75,405,108,127,253,327,225,124,171,51,125,77,49,25,553,1156
4.2.1.99,0,0,0,0,0,14,3,29,1,0,4,12,3,0,49,13
4.2.2.-,448,1810,510,559,169,567,47,235,854,222,435,597,260,31,867,1237
4.2.2.21,1,9,0,2,1,31,1,2,1,6,24,0,7,1,0,0
4.2.2.23,0,3,1,2,1,23,0,0,28,84,159,80,17,3,25,23
4.2.2.25,0,0,0,0,0,1275,193,5,0,0,1,0,0,0,0,0
4.2.2.8,0,3,0,2,7,9,2,2,1,0,20,2,4,1,0,1
4.2.2.n1,39,1617,30,68,81,249,23,30,16,51,99,274,230,30,12,211
4.2.3.1,483,542,802,414,2281,381,378,374,942,1037,1215,1070,2227,75,859,1966
4.2.3.2,0,1,0,0,302,6,3081,2430,0,0,0,0,14,2,0,0
4.2.3.3,1968,2928,3230,2853,1843,2499,7015,4901,3604,578,1423,819,1513,355,1925,5490
4.2.3.4,311,1009,926,279,1092,1033,1396,1030,371,426,1169,197,294,110,871,4126
4.2.3.5,201,909,527,257,1716,852,826,843,271,189,296,169,254,126,358,1090
4.2.99.18,517,623,1266,630,355,771,681,397,153,111,223,334,263,37,1131,599
4.3.1.1,1084,1456,1347,989,7066,2121,2100,1196,921,684,2126,1052,1655,1157,1144,689
4.3.1.14,258,293,1190,704,10,168,145,186,538,134,187,768,172,11,147,313
4.3.1.15,299,1029,1423,473,136,120,807,1371,406,672,86,317,488,12,672,659
4.3.1.17,1645,4225,2432,2663,2520,3537,1170,1557,1405,1355,1199,3450,1555,617,2357,4742
4.3.1.18,529,15,873,37,2,14,4,0,131,5,85,196,43,150,117,84
4.3.1.19,137,459,666,573,4141,1191,892,858,622,598,995,1126,817,350,547,846
4.3.1.2,368,511,936,331,48,134,345,339,1242,165,626,1290,601,59,367,237
4.3.1.23,9,298,8,89,0,2886,1,85,18,115,165,136,243,47,16,32
4.3.1.3,1701,3090,1433,3160,634,3749,777,921,3419,796,4469,2576,3940,321,1269,2199
4.3.1.4,563,1624,1044,1044,314,2263,520,476,1006,760,1143,1450,1240,156,429,876
4.3.1.7,1692,970,1309,1619,21,1850,2044,2234,2232,481,3347,2885,1149,261,1195,2327
4.3.2.1,488,4538,2251,805,1746,2050,1795,3264,1353,1191,2485,1487,1870,31630,3835,3054
4.3.2.2,1309,3544,5065,3306,2865,10407,9489,20725,15086,17690,15084,19586,7834,1201,10513,13862
4.3.3.7,1349,3537,1555,2097,431,709,3589,892,562,272,1908,682,1846,158,1240,782
4.3.99.3,77,937,121,281,163,743,76,98,26,257,304,65,191,30,65,415
4.4.1.1,22,0,22,0,5,0,35,0,28,4,1,114,16,0,17,63
4.4.1.11,191,494,232,176,8,167,199,124,122,23,142,199,195,7,187,137
4.4.1.13,7,0,205,19,0,21,1,0,7,16,39,5,0,1,7,114
4.4.1.15,32,0,183,7,0,0,79,1,718,0,170,268,19,0,74,8
4.4.1.16,88,1124,863,384,99,505,1772,207,83,298,1001,129,2841,100,66,503
4.4.1.2,22,0,22,0,5,0,35,0,28,4,1,114,16,0,17,63
4.4.1.21,192,50,753,401,6002,222,362,849,136,38,326,180,78,30,310,2243
4.4.1.24,0,0,19,0,0,0,19,0,26,34,100,75,242,11,0,0
4.4.1.25,73,57,0,0,0,3,0,91,206,691,568,277,512,25,148,0
4.4.1.5,584,366,175,437,82,48,38,245,291,86,118,331,88,132,942,817
4.4.1.8,685,1547,751,1053,282,1318,754,908,925,772,1377,1013,1006,126,1098,994
4.6.1.1,26,0,21,16,19,2,39,78,3,11,300,20,34,62,98,114
4.6.1.12,1753,4460,3569,864,145,667,2986,3689,358,1643,1223,746,1507,746,2474,6544
4.99.1.3,230,18,806,85,136,88,43,197,628,92,847,2194,147,3,178,315
4.99.1.4,92,215,154,477,0,1,0,18,0,3,9,17,28,0,10,83
5.-.-.-,5,2,121,1,36,14,225,187,5,1,1,1,3,209,17,3
5.1.-.-,0,0,9,0,13,42,112,5,11,65,31,19,9,1,0,0
5.1.1.-,0,1,0,0,83,40,29,5,0,0,0,6,982,0,0,441
5.1.1.1,455,1033,710,574,476,1060,321,945,353,567,1233,670,559,358,831,1515
5.1.1.3,41,179,147,98,2788,74,611,1167,12,63,227,54,161,12,46,105
5.1.1.4,99,537,449,383,0,0,0,0,10,0,0,108,0,0,0,0
5.1.1.7,327,231,194,202,42,342,96,226,108,36,87,168,133,8,72,459
5.1.1.n1,93,130,371,641,23,185,64,731,168,282,363,441,153,6,118,753
5.1.2.3,0,34,213,0,10,32,109,33,29,9,113,48,16,0,3,73
5.1.3.1,218,1033,434,728,133,1800,285,462,301,740,352,229,463,188,565,1109
5.1.3.11,238,151,90,572,96,2735,228,372,20,16,86,124,32,26,9,19
5.1.3.13,63,2568,163,185,249,12522,1013,3034,341,317,549,946,724,637,84,524
5.1.3.14,1262,669,2624,1260,601,1283,2381,1614,1775,835,1162,1233,5518,8509,3166,1682
5.1.3.2,2907,7007,4942,7118,13472,7118,11332,8996,4408,4429,8218,7931,11180,14184,5405,19460
5.1.3.20,29,38,5,32,0,9,3,22,30,47,473,55,69,0,28,1
5.1.3.23,1,6,6,0,1,0,0,24,0,1,1,0,0,0,6,36
5.1.3.24,1,65,1,3,0,40,0,0,4,4,22,3,13,2,2,26
5.1.3.3,893,2682,342,508,340,2728,664,358,832,612,1666,1050,990,115,1094,543
5.1.3.4,513,137,546,805,11228,676,1426,2493,510,119,749,679,2427,1753,533,722
5.1.3.7,0,0,0,0,0,0,0,0,3,13,5,0,0,2,1,13
5.1.3.8,1757,14563,2273,8371,45,14133,453,592,4841,671,3352,2687,8370,238,2018,2221
5.1.3.9,151,756,436,2111,11,671,43,49,802,32,2147,375,689,27,74,90
5.1.3.n2,56,69,232,72,17,443,0,16,169,19,30,60,190,49,125,65
5.1.3.n3,5,5,27,18,3,19,17,13,24,8,10,90,8,5,26,19
5.1.99.1,5,18,4,19,12,31,7,4,2,2,2,9,2,0,4,3
5.1.99.6,25,211,18,37,43,87,19,40,50,157,242,97,93,27,151,348
5.2.1.8,6760,24372,10734,18477,10332,25848,12174,9034,14074,14016,15423,9477,13142,16588,12392,22906
5.3.1.-,371,667,506,211,102,614,758,516,243,229,160,510,399,16,326,398
5.3.1.1,3469,4875,7634,5353,9410,8054,22719,16314,7551,4959,14232,6284,4594,2859,14227,9757
5.3.1.12,332,2209,543,2962,7058,1569,6320,2657,406,1309,2378,936,7911,16554,493,719
5.3.1.13,74,1504,74,113,918,520,150,451,63,126,77,398,92,282,60,734
5.3.1.14,111,361,345,765,17036,610,121,162,268,601,935,710,407,98,233,441
5.3.1.16,28,47,38,44,50,86,70,40,177,7,465,30,46,44,111,131
5.3.1.17,284,524,247,688,356,552,218,2472,173,425,484,279,11016,22313,794,319
5.3.1.23,100,65,178,180,51,149,377,601,515,190,260,101,1197,21,890,416
5.3.1.24,3,14,1,5,1,10,0,2,0,2,7,0,1,0,2,10
5.3.1.25,985,3349,4921,7611,699,9250,5273,3513,4451,2706,15957,4455,5680,690,1690,18290
5.3.1.26,0,0,0,0,0,10,12,0,6,0,21,3,0,0,0,22
5.3.1.28,14,16,2,18,0,7,0,8,0,0,0,0,0,0,65,1
5.3.1.29,0,7,4,1,1,259,5,2,1,10,159,5,262,45,14,18
5.3.1.4,596,4114,2038,2986,1391,2261,663,800,1669,1194,2142,1021,1253,275,1325,3167
5.3.1.5,240,2951,594,607,2023,13767,9334,1625,515,631,1601,1461,1917,1102,598,735
5.3.1.6,178,431,281,475,386,189,358,333,67,71,97,183,95,105,104,141
5.3.1.8,502,3200,659,1546,4490,383,2176,1561,509,1139,2933,842,1544,1631,980,1603
5.3.1.9,6753,12206,12055,11149,13758,10071,15015,14342,6621,3370,9751,10714,12268,20655,18432,12291
5.3.2.3,0,4,66,3,16,1323,5,26,18,5,81,6,17,0,0,0
5.3.2.8,12,0,0,0,0,0,0,0,0,0,0,33,0,0,15,0
5.3.3.14,21,0,21,0,0,0,0,0,0,0,0,0,0,1,5,0
5.3.3.3,754,749,316,753,73,631,220,625,451,287,622,643,547,54,1097,758
5.4.1.-,13,27,73,102,8,37,11,32,6,0,4,10,3,4,7,19
5.4.2.10,719,2829,2287,1647,6863,3660,9466,6236,4510,4660,4984,1644,3120,1235,4899,3203
5.4.2.11,184,2175,373,76,3216,123,995,3060,1577,1003,2329,2810,1593,6546,8448,3544
5.4.2.12,3335,6814,11840,6411,9905,16436,17677,13612,7842,3636,7679,11131,16584,4196,7296,10066
5.4.2.2,5761,21131,15828,17627,24315,18624,27726,23373,8765,7215,23162,14910,16560,3613,15554,18648
5.4.2.6,33,54,27,24,0,128,33,5,0,0,0,0,0,0,0,0
5.4.2.7,378,265,362,662,4373,406,8331,1293,1448,829,1505,2376,923,1270,1018,1863
5.4.2.8,325,727,126,222,60,4,2353,853,515,230,142,418,381,251,104,263
5.4.2.9,19,5,255,48,266,28,60,2,152,111,258,375,12,2,4,74
5.4.3.-,129,486,576,1097,62,30,108,198,312,20,85,117,515,10,307,129
5.4.3.2,240,422,184,164,24,234,439,406,429,256,1077,503,240,61,450,624
5.4.3.3,365,1090,639,1031,2,1136,18,268,1409,357,579,4153,877,10,210,1225
5.4.3.4,244,1755,530,3822,7,188,681,123,763,150,744,4144,1048,35,308,411
5.4.3.5,70,500,398,628,616,235,108,111,1192,54,222,316,3694,37,171,342
5.4.3.6,9,298,8,89,0,2886,1,85,18,115,165,136,243,47,16,32
5.4.3.8,2271,2372,275,2540,18,671,824,1316,2961,1181,7055,5059,3520,19,1131,2854
5.4.4.2,8,5,7,15,13,29,8,8,16,36,58,16,35,13,13,34
5.4.4.3,39,0,6,0,0,0,0,0,0,13,0,0,0,1,0,0
5.4.99.-,504,4019,1298,1879,5740,7850,8425,1614,507,1676,1393,3055,16787,85041,15780,3724
5.4.99.1,498,651,876,271,15,506,465,109,1652,152,877,2249,787,39,235,72
5.4.99.12,53,543,327,92,96,120,206,153,127,61,196,219,132,21,135,143
5.4.99.16,2,62,0,0,5,2,2,0,1,46,44,10,41,1,0,44
5.4.99.18,220,327,597,192,766,662,2577,5138,252,323,255,431,284,115,391,799
5.4.99.2,6650,25203,8585,6170,6920,18098,6520,9318,6155,6056,15239,9132,13204,3524,9209,15444
5.4.99.22,533,3796,1168,1116,930,2705,871,1038,360,714,622,728,935,717,1093,1849
5.4.99.23,46,101,164,70,416,87,69,41,104,80,232,186,219,33,9,65
5.4.99.24,15,1,7,5,0,15,5,5,37,15,25,17,10,0,0,0
5.4.99.25,114,1036,1163,557,154,367,350,156,503,123,444,410,439,55,217,368
5.4.99.28,4,27,1,5,501,32,0,13,9,6,14,6,39,39,34,150
5.4.99.29,4,27,1,5,501,32,0,13,9,6,14,6,39,39,34,150
5.4.99.5,65,174,298,115,160,398,249,225,217,182,465,44,107,23,362,8849
5.4.99.58,7,1,4,1,2,9,2,1,0,1,6,1,3,0,3,2
5.4.99.59,1,0,8,0,0,0,193,3,0,0,5,0,0,0,0,6
5.4.99.9,264,670,1300,1060,343,362,433,423,677,767,2851,3351,6443,29697,4724,2653
5.5.1.4,164,618,288,408,7180,693,415,521,249,714,1276,562,1174,349,359,562
5.5.1.n1,58,0,0,0,0,0,0,0,0,0,0,0,0,14,0,28
5.99.1.2,1484,10874,5991,4080,7291,10075,3654,7467,4606,4789,6547,6718,4583,1366,4227,14703
5.99.1.3,5161,38691,14304,18896,23092,52907,17449,23238,11796,19044,24997,17510,30761,71013,16924,31102
6.1.-.-,33,302,104,185,26,566,1243,1352,146,274,338,320,384,19,21,383
6.1.1.-,24,20,44,28,1,10,8,4,41,62,29,101,53,2,83,129
6.1.1.1,693,6278,2682,1770,3179,12452,2189,7526,3899,1885,4193,4645,2461,395,2417,4597
6.1.1.10,2937,7681,7469,4660,13164,5778,7019,5629,4024,6057,6896,5746,23699,3534,10490,6025
6.1.1.11,1857,8220,4667,3603,13212,8321,16457,8030,4424,3211,6156,4544,48160,4440,5010,22161
6.1.1.12,1514,4865,4107,2793,50369,10187,3546,5703,10486,9130,7217,4947,8565,17108,19537,15325
6.1.1.13,24,18,54,115,41,10,417,9,18,1,355,34,14,0,14,1
6.1.1.14,4271,10471,11552,7305,8379,14179,7887,9424,8230,8921,9964,9011,43188,144566,9921,11113
6.1.1.15,5274,15907,7570,10833,21845,15520,29529,16078,3012,6746,5426,5126,6896,15871,9364,11268
6.1.1.16,1186,4959,5461,3648,5167,4140,1435,3233,1714,1718,4733,2547,5902,1360,1700,4106
6.1.1.17,1722,5134,3976,3985,7842,11628,5458,6593,2427,2153,4483,2347,3092,954,6686,6661
6.1.1.18,1983,3864,5348,6932,1917,5719,4292,3775,3681,2445,5938,4260,3232,713,5010,6998
6.1.1.19,1830,5460,4923,5540,9882,4955,16369,8598,1919,2318,4423,2714,9444,18074,8219,11565
6.1.1.2,1344,3573,3377,4131,9429,8760,6535,7035,3055,3104,3720,3312,2242,331,3643,6562
6.1.1.20,851,6399,2925,3207,7630,6001,11472,7254,4411,5135,7973,4712,7437,17004,4798,4280
