EC,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8
2.4.1.129,4,27,12,32,134,96,335,209,44,458,730,73,114,39,23,333
2.4.1.173,5,28,5,1,1,14,1,3,0,0,0,0,0,0,0,0
2.4.1.18,4975,19483,10248,16257,13666,14613,7603,7991,10559,5880,18021,12113,18609,34655,17802,10658
2.4.1.180,20,0,0,40,31,0,0,0,0,0,0,0,0,0,0,0
2.4.1.182,14123,12518,5796,11118,12914,6172,6916,12250,7778,5661,3126,5378,3604,4520,11834,32307
2.4.1.187,215,10,331,50,1,19,140,51,185,19,101,124,9,2,661,87
2.4.1.19,0,0,0,0,0,206,50,101,0,0,0,0,0,0,0,0
2.4.1.208,780,19,58,172,1,4,23,264,75,116,78,32,6,1,68,1
2.4.1.21,6116,12620,9067,15561,4587,7920,8306,7745,8627,3887,12097,8942,8654,1412,8634,10833
2.4.1.211,725,2196,1601,3010,510,7192,20076,3113,3176,2486,20397,5709,4969,4402,3868,5925
2.4.1.227,456,2085,1955,1919,785,1898,1001,1334,1774,259,1577,885,749,193,2006,3230
2.4.1.25,911,4181,2158,2315,8231,7452,4205,3387,2143,1492,5396,4984,6201,16575,7321,7399
2.4.1.250,116,949,282,241,568,1537,394,227,86,46,142,73,857,9,154,405
2.4.1.280,127,2369,243,1240,470,49760,355,1133,1206,693,1146,1375,216,371,1772,1717
2.4.1.281,3371,19549,422,9983,270,7215,212,3347,2457,10966,7146,872,9372,65,2887,17159
2.4.1.288,0,0,0,0,19,1,24,83,0,0,0,0,1,2,0,0
2.4.1.303,0,0,0,0,59,0,198,20,0,0,0,0,0,1,0,0
2.4.1.4,1346,1805,3526,2118,103,796,945,953,1058,144,4466,1774,7473,1469,1799,1976
2.4.1.54,156,2853,332,389,3939,845,432,1170,424,243,619,609,736,205,256,2194
2.4.1.8,660,958,1402,608,788,1335,1261,1746,269,86,608,27,10194,58,1818,4489
2.4.2.-,1191,2840,2325,2507,1139,3890,2784,2928,2055,1685,1752,2617,1335,367,4475,5144
