"","super_pathway","pathway_name","ECs","num_ECs","num_exp_ECs","num_sig_ECs","pvalues_exp","padj_exp","pvalues_sig","padj_sig"
"ec00380","Amino acid metabolism","Tryptophan metabolism","1.1.1.110,1.1.1.190,1.1.1.191,1.1.1.35,1.10.3.4,1.11.1.21,1.11.1.6,1.13.11.10,1.13.11.11,1.13.11.17,1.13.11.23,1.13.11.52,1.13.11.6,1.13.12.3,1.13.99.3,1.14.13.125,1.14.13.168,1.14.13.9,1.14.14.1,1.14.14.8,1.14.16.3,1.14.16.4,1.14.99.2,1.2.1.3,1.2.1.32,1.2.3.1,1.2.3.7,1.2.4.2,1.3.1.18,1.3.8.6,1.4.3.2,1.4.3.22,1.4.3.4,1.7.3.2,2.1.1.4,2.1.1.47,2.1.1.49,2.3.1.87,2.3.1.9,2.4.1.195,2.6.1.27,2.6.1.7,2.6.1.99,3.2.1.147,3.5.1.4,3.5.1.9,3.5.5.1,3.5.99.5,3.7.1.3,4.1.1.28,4.1.1.43,4.1.1.45,4.1.1.74,4.1.99.1,4.2.1.17,4.2.1.84,4.99.1.6",57,11,1,0.99993123876082,1,0.827587561285379,1
"ec00400","Amino acid metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis","1.1.1.24,1.1.1.25,1.1.1.282,1.1.5.8,1.14.16.1,1.3.1.12,1.3.1.13,1.3.1.43,1.3.1.78,1.3.1.79,1.4.1.20,1.4.1.24,1.4.3.2,2.2.1.10,2.2.1.11,2.4.2.18,2.5.1.19,2.5.1.54,2.6.1.1,2.6.1.5,2.6.1.57,2.6.1.58,2.6.1.78,2.6.1.79,2.6.1.9,2.7.1.71,3.3.2.13,4.1.1.48,4.1.3.27,4.1.3.45,4.2.1.10,4.2.1.118,4.2.1.20,4.2.1.51,4.2.1.91,4.2.3.4,4.2.3.5,5.3.1.24,5.4.99.5",39,22,2,0.0476527123179804,0.383333048900963,0.8576780897831,1
"ec00254","Biosynthesis of other secondary metabolites","Aflatoxin biosynthesis","1.1.1.349,1.1.1.352,1.1.1.353,1.13.12.20,1.14.13.174,1.14.13.175,2.1.1.109,2.1.1.110,2.3.1.221,3.1.1.94,4.2.1.142,4.2.1.143,6.4.1.2",13,1,0,0.999169308757985,1,1,1
"ec00311","Biosynthesis of other secondary metabolites","Penicillin and cephalosporin biosynthesis","1.14.11.26,1.14.20.1,1.21.3.1,1.4.3.3,2.1.3.7,2.3.1.164,2.3.1.175,2.6.1.74,3.1.1.41,3.5.1.11,3.5.1.93,3.5.2.6,5.1.1.17,6.3.2.26",14,0,0,1,1,1,1
"ec00331","Biosynthesis of other secondary metabolites","Clavulanic acid biosynthesis","1.14.11.21,2.5.1.66,3.5.3.22,6.3.3.4",4,0,0,1,1,1,1
"ec00332","Biosynthesis of other secondary metabolites","Carbapenem biosynthesis","1.14.20.3,1.2.1.41,2.3.1.226,2.7.2.11,6.3.3.6",5,2,0,0.696344618543955,1,1,1
"ec00401","Biosynthesis of other secondary metabolites","Novobiocin biosynthesis","1.3.1.12,1.3.1.43,2.1.1.284,2.1.1.285,2.1.3.12,2.4.1.302,2.5.1.111,2.6.1.1,2.6.1.5,2.6.1.57,2.6.1.9,6.3.1.15",12,3,1,0.935894526066154,1,0.379794755689247,1
"ec00402","Biosynthesis of other secondary metabolites","Benzoxazinoid biosynthesis","1.14.13.137,1.14.13.138,1.14.13.139,1.14.13.140,1.14.20.2,2.1.1.241,2.4.1.202,4.1.2.8",8,0,0,1,1,1,1
"ec00521","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis","1.1.1.133,1.1.1.18,2.1.4.2,2.4.2.27,2.6.1.50,2.6.1.56,2.7.1.1,2.7.1.2,2.7.1.65,2.7.1.72,2.7.7.24,3.1.3.25,3.1.3.39,3.1.3.40,4.2.1.46,5.1.3.13,5.4.2.2,5.5.1.4",18,10,1,0.175259947199811,0.835405748319097,0.797566329252385,1
"ec00524","Biosynthesis of other secondary metabolites","Butirosin and neomycin biosynthesis","1.1.1.329,1.1.3.43,1.1.3.44,1.1.99.38,1.14.14.13,2.3.2.19,2.4.1.283,2.4.1.284,2.4.1.285,2.4.2.49,2.6.1.100,2.6.1.101,2.6.1.93,2.6.1.94,2.6.1.95,2.7.1.1,2.7.1.2,3.1.3.88,3.5.1.112,3.5.1.113,4.1.1.95,4.2.3.124,4.3.2.6,6.2.1.39",24,4,3,0.998090035100476,1,0.0111818698725014,0.799503695883852
"ec00901","Biosynthesis of other secondary metabolites","Indole alkaloid biosynthesis","1.1.1.273,1.14.11.20,1.14.13.73,1.14.13.75,1.3.1.36,1.3.1.73,1.5.1.32,2.1.1.94,2.1.1.99,2.3.1.107,2.3.1.160,2.4.1.219,3.1.1.78,3.2.1.105,3.2.1.125,4.1.1.28,4.3.3.2",17,0,0,1,1,1,1
"ec00940","Biosynthesis of other secondary metabolites","Phenylpropanoid biosynthesis","1.1.1.195,1.1.1.318,1.1.1.319,1.11.1.21,1.11.1.7,1.13.11.22,1.14.13.11,1.14.13.14,1.14.13.36,1.2.1.44,1.2.1.68,2.1.1.104,2.1.1.146,2.1.1.279,2.1.1.68,2.3.1.133,2.3.1.91,2.3.1.92,2.3.1.99,2.4.1.111,2.4.1.114,2.4.1.120,2.4.1.128,3.1.1.49,3.2.1.126,3.2.1.21,4.3.1.24,4.3.1.25,6.2.1.12",29,2,0,0.999997172986397,1,1,1
"ec00941","Biosynthesis of other secondary metabolites","Flavonoid biosynthesis","1.1.1.219,1.1.1.234,1.14.11.19,1.14.11.22,1.14.11.23,1.14.11.9,1.14.13.11,1.14.13.21,1.14.13.36,1.14.13.88,1.17.1.3,1.21.3.6,1.3.1.77,2.1.1.104,2.3.1.133,2.3.1.170,2.3.1.74,2.4.1.185,2.4.1.236,5.5.1.6",20,0,0,1,1,1,1
"ec00942","Biosynthesis of other secondary metabolites","Anthocyanin biosynthesis","2.3.1.153,2.3.1.171,2.3.1.172,2.3.1.214,2.3.1.215,2.4.1.115,2.4.1.116,2.4.1.238,2.4.1.249,2.4.1.254,2.4.1.295,2.4.1.297,2.4.1.298,2.4.1.299,2.4.1.300,2.4.2.51",16,0,0,1,1,1,1
"ec00943","Biosynthesis of other secondary metabolites","Isoflavonoid biosynthesis","1.1.1.348,1.14.11.22,1.14.13.136,1.14.13.28,1.14.13.52,1.14.13.85,1.14.13.89,1.3.1.45,1.3.1.46,1.3.1.51,2.1.1.150,2.1.1.212,2.1.1.270,2.3.1.115,2.4.1.170,2.5.1.36,4.2.1.105,4.2.1.139",18,0,0,1,1,1,1
"ec00944","Biosynthesis of other secondary metabolites","Flavone and flavonol biosynthesis","1.14.13.21,1.14.13.88,2.1.1.153,2.1.1.155,2.1.1.267,2.1.1.75,2.1.1.76,2.1.1.82,2.1.1.83,2.3.1.115,2.3.1.116,2.3.1.173,2.4.1.105,2.4.1.106,2.4.1.159,2.4.1.189,2.4.1.190,2.4.1.191,2.4.1.234,2.4.1.236,2.4.1.239,2.4.1.240,2.4.1.81,2.4.1.91,2.4.2.25,2.4.2.35,2.8.2.25,2.8.2.26,2.8.2.27,2.8.2.28,3.2.1.31",31,1,0,0.999999957982691,1,1,1
"ec00945","Biosynthesis of other secondary metabolites","Stilbenoid, diarylheptanoid and gingerol biosynthesis","1.14.13.11,1.14.13.36,2.1.1.104,2.1.1.240,2.3.1.133,2.3.1.146,2.3.1.211,2.3.1.217,2.3.1.218,2.3.1.219,2.3.1.95,2.3.1.99",12,0,0,1,1,1,1
"ec00950","Biosynthesis of other secondary metabolites","Isoquinoline alkaloid biosynthesis","1.1.1.218,1.1.1.247,1.1.1.248,1.10.3.1,1.14.11.31,1.14.11.32,1.14.13.37,1.14.13.55,1.14.13.56,1.14.13.57,1.14.13.71,1.14.16.2,1.14.18.1,1.14.21.1,1.14.21.2,1.14.21.3,1.14.21.4,1.14.21.5,1.21.3.2,1.21.3.3,1.3.3.8,1.4.3.2,1.4.3.21,1.4.3.4,1.4.9.2,1.5.1.27,1.5.1.31,1.5.3.12,2.1.1.115,2.1.1.116,2.1.1.117,2.1.1.118,2.1.1.119,2.1.1.120,2.1.1.121,2.1.1.122,2.1.1.128,2.1.1.140,2.1.1.147,2.1.1.291,2.1.1.89,2.3.1.150,2.6.1.1,2.6.1.5,2.6.1.57,4.1.1.25,4.1.1.28,4.1.1.80,4.2.1.78,4.3.3.3,4.3.3.4",51,1,0,0.999999999999358,1,1,1
"ec00960","Biosynthesis of other secondary metabolites","Tropane, piperidine and pyridine alkaloid biosynthesis","1.1.1.206,1.1.1.222,1.1.1.236,1.1.1.237,1.14.11.11,1.14.11.14,1.14.13.101,1.4.1.18,1.4.3.14,1.4.3.21,1.5.1.1,1.5.1.21,2.1.1.53,2.3.1.145,2.3.1.185,2.3.1.186,2.3.1.93,2.5.1.44,2.6.1.1,2.6.1.5,2.6.1.57,2.6.1.58,2.6.1.9,2.8.3.17,3.1.1.10,3.1.1.84,4.1.1.18",27,2,1,0.999992058644384,1,0.272635741469533,1
"ec00965","Biosynthesis of other secondary metabolites","Betalain biosynthesis","1.14.18.1,2.1.1.6,4.1.1.28",3,0,0,1,1,1,1
"ec00966","Biosynthesis of other secondary metabolites","Glucosinolate biosynthesis","1.14.13.117,1.14.13.118,1.14.13.124,1.14.13.125,1.14.13.41,2.4.1.195,2.6.1.42,2.8.2.24",8,1,0,0.98722238917266,1,1,1
"ec01058","Biosynthesis of other secondary metabolites","Acridone alkaloid biosynthesis","2.1.1.111,2.3.1.159,6.2.1.32",3,0,0,1,1,1,1
