"enzyme","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","KO1","KO2","KO3","KO4","WT1","WT2","WT3","WT4"
"3.6.3.40",1110.42066247842,8.31524474453884,1.35274856784041,6.14692555750674,7.89991817949328e-10,4.0971848376372e-08,0,6.99153856563675,13.231616970287,7.15854301650801,7735.28095435861,82.102673837662,1010.36356803732,28.2364050413292
"1.1.1.136",860.07923772151,3.7183296568155,0.617450053003959,6.02207358915177,1.72196565766697e-09,8.5424470234696e-08,87.9175776938119,38.1356649034732,256.693369223567,102.904055862303,1715.61767288137,2364.82619561922,1059.38561891248,1255.15374667586
"6.2.1.1",233.735014087072,7.65210071660771,1.28773052934118,5.94231521444367,2.81024363470196e-09,1.33603666133122e-07,1.69072264795792,1.27118883011577,0,6.26372513944451,70.9158338551918,1216.7347073647,560.252010001793,12.7519248573745
"1.1.1.44",721.408865405315,-3.36830532470794,0.568589610183747,-5.9239656588509,3.14269111777231e-09,1.43432422615128e-07,2456.62000748286,629.874065322366,1363.73865573758,810.704996619532,124.102709246586,201.891820912284,73.2147513070525,111.123916614263
"4.3.2.2",10464.8209907162,2.59441611073625,0.439039759059553,5.90929649809765,3.43571821537634e-09,1.50775172451708e-07,2213.15594617692,2252.54660696515,4467.8759969669,2958.26790157193,20573.7744142197,23809.775412922,9603.22877143983,17839.9428754669
"1.3.1.76",110.015522226038,-5.04352838140109,0.874499797388173,-5.76732938814207,8.05375489858981e-09,3.28190512117535e-07,155.546483612129,136.652799237446,135.844600894946,426.82812735929,0,4.03783641824567,5.72985010229107,15.4844801839547
"4.99.1.4",110.015522226038,-5.04352838140109,0.874499797388173,-5.76732938814207,8.05375489858981e-09,3.28190512117535e-07,155.546483612129,136.652799237446,135.844600894946,426.82812735929,0,4.03783641824567,5.72985010229107,15.4844801839547
"1.1.1.271",2394.78510149664,5.36390262227946,0.941028037797558,5.7000454894346,1.19775462599521e-08,4.71254492503633e-07,64.247460622401,138.559582482619,99.6781811761619,151.224221223732,3431.23534576274,14211.838246752,618.823811047435,442.673962905999
"1.1.-.-",164.888264813907,2.53658087054629,0.44669550390199,5.67854578429526,1.35844674802831e-08,5.16662579833433e-07,47.3402341428218,41.9492313938205,68.8044082454923,35.79271508254,325.940082526747,325.718804405151,300.498805364598,173.061837350082
"1.8.1.-",534.443923993709,-3.57523922496269,0.633280758922956,-5.64558321816572,1.64622216502688e-08,6.05915964611507e-07,333.07236164771,1121.82414257717,643.938692553966,1846.90409825907,51.8231093557171,52.4918734371937,142.609602545911,82.887511572934
"1.6.-.-",30.3500368502208,-8.34557131287757,1.52680424344247,-5.46603885122881,4.60203513031614e-08,1.64091315115335e-06,55.7938473826114,134.746015992272,37.0485275168035,15.2119039100795,0,0,0,0
"2.7.9.2",910.72019908071,2.37639889344972,0.445107893094258,5.33892777530792,9.34978787582324e-08,3.19902728839169e-06,439.587888469059,211.652940214276,233.75856647507,293.500263676828,1217.84306985935,2310.98837670927,1599.26482855057,979.165658691253
